Unit #,Unit Description,Department,Area,Model No.,Critical Unit,Serial No.,Install Date,Refrigerant,Filter Size,Tons,Asset Type,Location List,Number of Filters,Weight
754,6 High Breakroom,CM 2,,38MHRBQ24AA3,FALSE,1820V10424,10/13/2020,R410A,washable,2,Mini Split,,0,3.97
755,Torch Robot,Hot Mill,,G280646G050,FALSE,19026214-41-A,10/4/2020,R134A,washable,2,Cabinet Cooler,,0,16 OZ
346,633 West,Overhead Cranes,Cold Mill,G520816G050,FALSE,19030419-47-A,5/6/2020,R134A,washable,2,Cabinet Cooler,,0,24OZ
351,635 West,Overhead Cranes,Cold Mill,G520816G050,FALSE,19030420-47-A,4/23/2020,R134A,Washable,2,Cabinet Cooler,,1,24OZ
113,Breakroom SOUTH UNIT,Hot Mill,Breakroom SOUTH UNIT,PTC153G50AXXXBA,FALSE,1907259190,,R410,washable,2,PTAC,,0,25OZ
086,MOLD SEGMENT WEST PULPIT PTAC,Caster,MOLD SEGMENT WEST PULPIT PTAC,PTC153G50AXXXBA,FALSE,1907259191,,R410A,washable,2,PTAC,,0,25.0
079,Caster Supervisor's Office,Caster,Caster Supervisor's Office,PTC153G50AXXXBA,FALSE,1907259195,,R410A,washable,2,PTAC,,0,25OZ
503,Café Make Up Table,Admin / Cafeteria,Café Make Up Table,SR4812,FALSE,19601095,,R22,,2,Air to Air,,0,15OZ
025,MELT SHOP Lab Dust Collector,Melt Shop,MELT SHOP Lab Dust Collector,135SQNH135SONHP,FALSE,2.23895E+18,,,20x20,2,Fresh Air,,1,
349,634 West,Overhead Cranes,Cold Mill,G520816G050,FALSE,20000513-02-A,4/23/2020,R134A,Washable,2,Cabinet Cooler,,1,24OZ
347,633 East,Overhead Cranes,Cold Mill,G520816G050,FALSE,20000514-02-A,5/6/2020,R134a,washable,2,Cabinet Cooler,,0,24OZ
350,635 East,Overhead Cranes,Cold Mill,G520816G050,FALSE,20000515-02-A,4/23/2020,R134A,Washable,2,Cabinet Cooler,,1,24OZ
348,634 East,Overhead Cranes,Cold Mill,G520816G050,FALSE,20000516-02-A,4/23/2020,R134A,Washable,2,Cabinet Cooler,,1,24 OZ
019,Grinder #3,Roll Shop,,G572046G060,FALSE,20012049-20-A,6/3/2020,R407C,washable,2,Cabinet Cooler,,0,48OZ
344,632 East,Overhead Cranes,Cold Mill,G520816G050,FALSE,21011196-21-A,12/7/2021,R134A,16x20,2,Cabinet Cooler,,1,20OZ
356,679 East,Overhead Cranes,Cold Mill,G520816G050,FALSE,21011203-21-A,12/7/2021,R134A,16x20,2,Cabinet Cooler,,1,20OZ
357,679 West,Overhead Cranes,Cold Mill,g520816g050,FALSE,21011204-21-a,12/7/2021,R134A,16x20,2,Cabinet Cooler,,1,20OZ
345,632 West,Overhead Cranes,Cold Mill,G520816G050,FALSE,2101195-21-A,12/7/2021,R134A,16x20,2,Cabinet Cooler,,1,20OZ
428,North Rail Scale,MS Outer Bldgs,North Rail Scale,PTC153G50AXXXXGA,FALSE,2103206158,9/9/2021,R410-A,washable,2,PTAC,,0,23.2 OZ
426,East Motion Scale,MS Outer Bldgs,East Motion Scale,PTC153G50AXXXGA,FALSE,210842536,,R410A,washable,2,PTAC,,0,27.5 OZ
434,Elec.Mait.shop,MS Outer Bldgs,Elec.Mait.shop,PTC153G50AAXXXGA,FALSE,2108434787,,R410A,washable,2,PTAC,,0,23.2 OZ
694,CM#2 Pickle line Lab,CM 2,CM#2 Pickle line Lab,38MAQB18R--301,FALSE,2118V17571,1/1/2018,R410A,washable,2,Mini Split,,0,4lbs 5ozs
822,TAPPING PULPIT #1,Melt Shop,,TVC024HFC30CPTS,FALSE,215010145,12/29/2021,R410A,20X20,2,Water Source,,1,40 oz
823,TAPPING PULPIT #2,Melt Shop,,TCV036AFC30PTS,FALSE,233311523,3/6/2024,R410A,20X20,2,Water Source,,1,50 OZ
528,Admin Bldg #6,Admin / Cafeteria,Admin Bldg #6,38CKC024330,FALSE,2998E12339,,R22,20x20,2,Air to Air,,4,5LB
427,NORTH SHIPPING LAYDOWN YARD,MS Outer Bldgs,NORTH SHIPPING LAYDOWN YARD,2KR22ABOSS,FALSE,2KR5446,,R407C,washable,2,Window Unit,,0,2LB 13 OZ
35B,Tapping Pulpit,Melt Shop,Tapping Pulpit,2KR16WB4G-R,FALSE,2KR5962,,R407C,,2,Water Source,,0,2lbs
35C,Tapping Pulpit,Melt Shop,Tapping Pulpit,2KR16WB4G-R,FALSE,2KR5963,,R407C,,2,Water Source,,0,2lbs
745,Warehouse Top Connex,CM 2,,W24MZDC00,FALSE,316F193658911-02,8/1/2019,R410A,16X20,2,Air To Air,,2,80OZ
746,Warehouse Bottom Connex,CM 2,,W24MZDC00,FALSE,316F193658912-02,8/1/2019,R410A,16X20,2,Air To Air,,2,80OZ
530,Nucor Credit Union,Admin / Cafeteria,Cafeteria,38HMRC018AA3,FALSE,3221V20722,9/13/2022,R410a,Washable,2,Mini Split,,1,4 LBS 8 OZ
848,CM2 SHIPPING BAY SHACK,CM 2,CM2 SHIPPING BAY,SA33108,FALSE,340A506400205070120118,12/9/2022,R410A,Washable,2,Mini Split,,1,4.2 lbs
845,CM2 Electrical Office in High Bay,CM 2,Outer Building,,FALSE,340C91621021311,11/2/2022,R410A,Washable,2,Mini Split,,0,4.2 lbs
447,Shipping Office - Clyde Lyde,MS Outer Bldgs,Shipping Office - Clyde Lyde,38CRC018340,FALSE,3904E08515,,R22,20X20,2,Air to Air,,1,3LB 3 OZ
748,CM2 Loaders Office,CM 2,,50SS-024---301--,FALSE,4094G40903,6/4/2020,R22,20X20,2,Package Unit,,1,2.75LBS
115,Bander Operator,Hot Mill,Bander Operator,ETAC2-15HC230VA-CP,FALSE,4217GP07250,6/2/2020,R410A,washable,2,PTAC,,0,35.27OZ
073,Mold Segment East Bottom Office PTAC,Caster,Mold Segment East Bottom Office PTAC,ETAC2-15HC23VA-CP,FALSE,4217GP07257,6/7/2019,R22,washable,2,PTAC,,0,32.1 OZ
837,CM 2 4 High Breakroom,CM 2,CM 2 4 High,38MARBQ24AA301,FALSE,4521V27258,8/8/2022,R-410A,washable,2,Mini Split,,0,5.73 lb
420,Radio Tower,MS Outer Bldgs,Radio Tower,PH4GNAB24000AATP,FALSE,4820F47579,,R410A,20X20,2,Package Unit,,1,7.5 OZ
214,Galv Line Electrical Maint PTAC,Cold Mill,Galv Line Electrical Maint PTAC,PTC153G50AXXX,FALSE,4921GP05304,8/12/2022,R410A,washable,2,PTAC,,0,32.1 OZ
858,NEW MET LAB CREW ROOM,Outer Buildings,NEW MET LAB,38MGRQ24C-301,FALSE,4921V22489,,R410A,,2,Mini Split,,0,6.17
473,Shipping Office Ice Machine,Outer Bldgs,Shipping Office Ice Machine,ICE060A,FALSE,5.02128E+12,,R134A,,2,Ice Machine,,0,9.5 OZ
816,Waste Water Connex,Melt Shop,Waste Water,40MBCQ18---3,FALSE,5020V21881,4/21/2021,R410A,washable,2,Mini Split,,0,
